"LSOA2021","INCN","EMPN","ESTN","HDDN","CRMN","BHSN","LIVN","CYPN","ADSN","INDN","OUTN"
"E01004779",0.285892634207241,0.246350364963504,0.176135691120422,0.52676399026764,0.42939226519337,0.299804839294658,0.242822622043596,0.456189410887398,0.359240069084629,0.449513586044951,0.493670886075949
"E01004780",0.117353308364544,0.135036496350365,0.0477830646497645,0.302919708029197,0.438674033149171,0.361427263777828,0.289686862236913,0.317486950037286,0.221070811744387,0.482723918148272,0.541341233503905
"E01004781",0.176029962546816,0.147810218978102,0.0892218829155126,0.391930251419302,0.373038674033149,0.209150101034524,0.236224317319611,0.371923937360179,0.276338514680484,0.446159007044616,0.483167250201993
"E01004782",0.280898876404494,0.224452554744526,0.221847406670928,0.512976480129765,0.457900552486188,0.351220186179859,0.115952372009165,0.479120059656972,0.411053540587219,0.376719221737672,0.254241852949098
"E01004783",0.131086142322097,0.167883211678832,0.0985843808441635,0.428426601784266,0.364640883977901,0.330685134971762,0.211721694274374,0.363348247576436,0.300518134715026,0.439449849043945,0.435227578777269
"E01004784",0.0624219725343321,0.118613138686131,0.0338991075444452,0.304541768045418,0.149834254143646,0.212034334467453,0.0492681766392468,0.282252050708427,0.202072538860104,0.279436430727944,0.137893886345273
"E01004785",0.31585518102372,0.257299270072993,0.263380915181213,0.484184914841849,0.711823204419889,0.27210238165144,0.0816086341384016,0.592468307233408,0.336787564766839,0.294532036229453,0.303258820360894
"E01004786",0.124843945068664,0.144160583941606,0.0837416850129016,0.4330900243309,0.521104972375691,0.19391720350253,0.127083098573915,0.334451901565996,0.288428324697755,0.412277759141228,0.166711553999461
"E01004787",0.823970037453184,0.735401459854015,0.601709158913903,0.795214922952149,0.859889502762431,0.408611250237474,0.0741213737495148,0.68027591349739,0.651122625215889,0.311975847031198,0.223000269323997
"E01004788",0.0374531835205993,0.10036496350365,0.0370002130530502,0.258515815085158,0.143425414364641,0.15533410476503,0.132166422516871,0.254660700969426,0.22279792746114,0.409258638040926,0.224346889307837
"E01004789",0.0362047440699126,0.0857664233576642,0.0502568472883081,0.27595296025953,0.337900552486188,0.253069895165887,0.297386971165283,0.303691275167785,0.234887737478411,0.601140556860114,0.276595744680851
"E01004790",0.161048689138577,0.178832116788321,0.10897663518216,0.355028386050284,0.555138121546961,0.149686533911331,0.427212059747837,0.454511558538404,0.236614853195164,0.677960415967796,0.434150282790197
"E01004791",0.133583021223471,0.153284671532847,0.0713254266979145,0.377331711273317,0.341878453038674,0.20683580594463,0.305850830735329,0.376025354213274,0.236614853195164,0.580677624958068,0.377592243468893
"E01004792",0.0524344569288389,0.111313868613139,0.0518074000426106,0.243714517437145,0.208397790055249,0.218130947652027,0.15765816524559,0.316927665920955,0.231433506044905,0.412948674941295,0.330191220037705
"E01004793",0.671660424469413,0.589416058394161,0.649172643988353,0.682684509326845,0.815027624309392,0.339579627294865,0.14706582028071,0.730611483967189,0.635578583765112,0.300570278430057,0.48639913816321
"E01004794",0.791510611735331,0.700729927007299,0.655694434580877,0.692822384428224,0.757348066298343,0.334225661042124,0.131502835893776,0.68530947054437,0.694300518134715,0.320362294532036,0.422838674925936
"E01004795",0.468164794007491,0.527372262773723,0.38692801174159,0.734590429845904,0.670276243093923,0.327092796324761,0.0922134996056042,0.582028337061894,0.531951640759931,0.307614894330762,0.319956908160517
"E01004796",0.265917602996255,0.295620437956204,0.248171294652368,0.507907542579075,0.704972375690608,0.199962004110464,0.473938574415606,0.46923937360179,0.459412780656304,0.675612210667561,0.552383517371398
"E01004797",0.561797752808989,0.512773722627737,0.580545889259759,0.633211678832117,0.752044198895028,0.241792024317369,0.278130438593196,0.619686800894855,0.690846286701209,0.50050318685005,0.483705898195529
"E01004798",0.436953807740325,0.390510948905109,0.484707525507185,0.587996755879967,0.772154696132597,0.324139479456313,0.228887302958595,0.674683072334079,0.535405872193437,0.508554176450855,0.324804740102343
"E01004799",0.0936329588014981,0.164233576642336,0.15277087328078,0.44566098945661,0.380552486187845,0.227992608072399,0.12603137637882,0.388329604772558,0.376511226252159,0.411606843341161,0.159439806086722
"E01004800",0.118601747815231,0.167883211678832,0.145882157990673,0.468167072181671,0.346077348066298,0.310495500941262,0.113585997070202,0.423750932140194,0.338514680483592,0.399865816839987,0.103959062752491
"E01004801",0.770287141073658,0.726277372262774,0.829119617451412,0.644971613949716,0.967955801104972,0.375157596587278,0.142320549900462,0.855145413870246,0.642487046632124,0.37940288493794,0.355776999730676
"E01004802",0.746566791510612,0.576642335766423,0.556683947636295,0.683292781832928,0.720883977900552,0.195592476813872,0.204434761922648,0.673191648023863,0.614853195164076,0.464944649446495,0.359816859682198
"E01004803",0.0474406991260924,0.0802919708029197,0.0197310797055133,0.239051094890511,0.216574585635359,0.345693511338319,0.266448809926254,0.278709917971663,0.139896373056995,0.561221066756122,0.30245084837059
"E01004804",0.0374531835205993,0.0857664233576642,0.011315484222238,0.268653690186537,0.29878453038674,0.259805530129013,0.0600608496412876,0.208985831469053,0.141623488773748,0.279436430727944,0.230002693239968
"E01004805",0.0961298377028714,0.0894160583941606,0.0322657008261724,0.237226277372263,0.359779005524862,0.276955492996667,0.0398652793950093,0.295674869500373,0.188255613126079,0.260315330426032,0.119310530568274
"E01004806",0.0923845193508115,0.131386861313869,0.0417583978410624,0.379967558799676,0.464309392265193,0.18937496761714,0.150934655498379,0.31972408650261,0.202072538860104,0.380409258638041,0.38082413143011
"E01004807",0.0774032459425718,0.0948905109489051,0.0459484411618493,0.348134630981346,0.300331491712707,0.252085456209737,0.166009340294733,0.317300521998509,0.215889464594128,0.437437101643744,0.295179100457851
"E01004808",0.0399500624219725,0.0656934306569343,0.0258504367587529,0.303122465531225,0.215027624309392,0.198131293069204,0.121473913533411,0.233221476510067,0.196891191709845,0.386112042938611,0.252625908968489
"E01004809",0.257178526841448,0.239051094890511,0.179781265535118,0.497364152473641,0.601767955801105,0.286178131638486,0.36965531057106,0.468680089485459,0.35405872193437,0.655820194565582,0.340425531914894
"E01004810",0.111111111111111,0.0985401459854015,0.0401368274033568,0.292984590429846,0.355580110497238,0.146249632994249,0.199814696565626,0.211595824011931,0.241796200345423,0.422006038242201,0.437651494748182
"E01004811",0.759051186017478,0.565693430656934,0.759190871860427,0.632400648824006,0.700994475138121,0.474413222569558,0.518060824600283,0.639634601043997,0.879101899827288,0.706474337470647,0.56342580123889
"E01004812",0.640449438202247,0.377737226277372,0.668631489240821,0.56021897810219,0.589171270718232,0.4320305348785,0.480912494209268,0.552199850857569,0.865284974093264,0.652465615565247,0.619714516563426
"E01004813",0.581772784019975,0.388686131386861,0.490057524323557,0.559205190592052,0.668950276243094,0.364466934940675,0.544541687012483,0.456935123042506,0.727115716753022,0.749077490774908,0.486937786156746
"E01004814",0.485642946317104,0.381386861313869,0.438119925194707,0.561435523114355,0.686850828729282,0.369320046285902,0.671161527000463,0.561521252796421,0.607944732297064,0.770211338477021,0.683544303797468
"E01004815",0.545568039950062,0.348540145985401,0.466574343678243,0.458840227088402,0.641767955801105,0.350546622683546,0.471121461393031,0.453579418344519,0.704663212435233,0.711841663871184,0.43792081874495
"E01004816",0.33458177278402,0.235401459854015,0.437267712993869,0.455798864557989,0.438011049723757,0.458731282706689,0.361128848489401,0.49813571961223,0.652849740932643,0.636363636363636,0.381362779423647
"E01004817",0.415730337078652,0.348540145985401,0.333889638519992,0.581508515815085,0.890386740331492,0.303259011070621,0.463308667943758,0.50186428038777,0.544041450777202,0.587722240858772,0.711284675464584
"E01004818",0.627965043695381,0.532846715328467,0.491868475250337,0.631386861313869,0.759558011049724,0.292499265988498,0.748513190349197,0.55965697240865,0.661485319516408,0.813485407581348,0.699973067600323
"E01004819",0.388264669163546,0.343065693430657,0.245709348294392,0.586780210867802,0.575027624309392,0.239080499473239,0.466401232017429,0.423937360178971,0.490500863557858,0.712512579671251,0.423915970913008
